row_id,client_ip,datetime,method,request,status_code,size,user_agent,referer_present(YorN)
306,2.177.12.140,01/22/2019 03:56:25,GET,/image/33618/productType/120x90,200,10.695 KB,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
307,54.36.149.92,01/22/2019 03:57:11,GET,/filter/p59522Cv17CD982D8B1D985D8B22Cv17CD986D8A7D8B1D986D8ACDB8C,200,32.006 KB,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
308,207.46.13.136,01/22/2019 03:56:57,GET,/filter/b1b103b105b109b124b148b194b231b424b5b572,200,38.222 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
309,40.77.167.129,01/22/2019 03:56:19,GET,/image/6229/productModel/100x100,200,1.796 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
310,178.253.33.51,01/22/2019 03:56:19,GET,/m/product/32574/62991/D985D8A7D8B4DB8CD986D8A7D8B5D984D8A7D8ADD8B5D988D8B1D8AAD9BED8B1D986D8B3D984DB8CD985D8AFD984PR465AT,200,20.406 KB,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
311,178.253.33.51,01/22/2019 03:56:23,GET,/image/32574?name=pr465at1.jpg&wh=max,200,47.078 KB,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
312,2.185.221.79,01/22/2019 03:56:44,GET,/image/29128?name=7041.jpg&wh=200x200,200,3.212 KB,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-E700H Build/LMY47X),N
313,91.99.72.15,01/22/2019 03:56:19,GET,/product/10075/13903/D985D8A7DB8CDAA9D8B1D988D981D8B1D8B1D988D985DB8CD8B2DB8CD8B3D8A7D985D8B3D988D986DAAFD985D8AFD984CE288,200,41.725 KB,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",N
314,5.211.97.39,01/22/2019 03:57:05,GET,/image/4577/productModel/200x200,200,5.382 KB,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
315,5.209.200.218,01/22/2019 03:56:55,GET,/static/images/guarantees/goodShopping.png,200,6.496 KB,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G361H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Y
316,91.99.72.15,01/22/2019 03:57:08,GET,/product/15448/29282/D985DB8CD8B2D8B9D8B3D984DB8CPersisD985D8AFD984TS101,200,41.047 KB,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7(KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7",N
317,31.56.96.52,01/22/2019 04:56:32,GET,/static/images/amp/blog.png,200,3.863 KB,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
318,5.209.200.218,01/22/2019 03:56:59,GET,/image/180/brand,200,2.566 KB,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G361H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Y
319,66.111.54.249,01/22/2019 03:56:29,GET,/static/images/guarantees/fastDelivery.png,200,7.713 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
320,66.111.54.249,01/22/2019 03:57:02,GET,/static/images/amp/telegram.png,200,4.859 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
321,178.253.33.52,01/22/2019 04:56:21,HEAD,/image/32574?name=pr465at.jpg&wh=max,200,28.825 KB,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
322,5.211.97.39,01/22/2019 03:56:57,GET,/image/890/mainSlideMobile,200,92.209 KB,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
323,54.36.148.17,01/22/2019 03:56:44,GET,/filter/p442Cv17CD8A2D984D8A8D8A7D984D988DB8CDB8C2Cv17CD8AED8A7DAA9D8B3D8AAD8B1DB8C.,200,33.103 KB,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
324,66.249.66.91,01/22/2019 03:56:39,GET,/filter/b6562Cb7032Cb672Cb2262Cb412Cb5982Cb1682Cb7232Cb5972Cb882Cb5482Cb62Cb6792Cb2152Cb1052Cb1942Cb742Cb5422Cb352Cb1132Cb8202Cb5742Cb4422Cb8802Cb6452Cb7242Cb1182Cb4822Cb4002Cb952Cb1352Cb2492Cb4352Cb2212Cb5232Cb8542Cb1262Cstexists2Cb2162Cb2172Cb1522Cb992Cb1882Cb2092Cb1922Cb2132Cb1362Cb2182Cb42Cb6482Cb4542Cb2582Cb2702Cb180?page=45,200,41.513 KB,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
325,207.46.13.115,01/22/2019 03:56:30,GET,/image/6239/productModel/150x150,200,2.737 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
326,5.211.97.39,01/22/2019 03:57:03,GET,/image/2080/productModel/200x200,200,5.104 KB,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
327,2.177.12.140,01/22/2019 03:56:24,GET,/static/images/amp/telegram.png,200,4.859 KB,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
328,31.56.96.51,01/22/2019 03:56:32,GET,/static/images/amp/instagram.png,200,7.146 KB,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
329,5.211.97.39,01/22/2019 03:56:56,GET,/settings/logo,200,4.12 KB,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
330,40.77.167.129,01/22/2019 03:56:20,GET,/image/64815/productModel/150x150,200,3.481 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
331,5.211.97.39,01/22/2019 03:57:05,GET,/image/2078/productModel/200x200,200,5.36 KB,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
332,66.111.54.249,01/22/2019 03:56:45,GET,/image/65321/productModel/200x200,200,3.788 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
333,66.111.54.249,01/22/2019 03:56:45,GET,/image/877/brand,200,3.121 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
334,66.249.66.194,01/22/2019 03:56:28,GET,/m/filter/b105b113b118b126b135b136b152b168b180b188b192b194b209b213b215b216b217b218b221b226b249b258b270b35b4b400b41b435b442b454b482b523b542b548b574b597b598b6b645b648b656b67b679b703b723b724b74b820b854b88b880b95b99stexists,200,26.859 KB,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
335,66.111.54.249,01/22/2019 03:56:46,GET,/image/879/brand,200,3.348 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
336,157.55.39.245,01/22/2019 03:56:57,GET,/product/32428/62788/D984D9BED8AAD8A7D9BED8A7DB8CD8B3D988D8B3D985D8AFD984AsusX541UV,200,44.052 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
337,5.209.200.218,01/22/2019 03:56:58,GET,/amphelperframe.html?appId=a624a1c10c93466aa546e146710f97e6&parentOrigin=https://www.zanbil.ir,200,0.133 KB,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G361H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Y
338,31.56.96.51,01/22/2019 03:56:59,GET,/image/60835/productModel/200x200,200,8.171 KB,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
339,207.46.13.115,01/22/2019 03:56:29,GET,/image/46131/productModel/100x100,200,1.981 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
340,5.211.97.39,01/22/2019 03:56:57,GET,/image/2145/productModel/200x200,200,6.185 KB,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
341,157.55.39.245,01/22/2019 03:56:54,GET,/blog/sports/gymandfitness/dbb7d8a7d8b4d8aad8a8d8a7d987d8b1d8a7db8cd8acd8afd8b1d8aad985d8b1db8cd986d8a7d8aad8a8d8afd986d8b3d8a7d8b2db8c/,200,25.639 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
342,31.56.96.51,01/22/2019 03:56:59,GET,/image/60862/productModel/200x200,200,4.228 KB,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
343,66.249.66.91,01/22/2019 03:57:06,GET,/filter/b4812Cb8742Cb322Cb672Cb362Cb2262Cb412Cb1362Cb5702Cb5982Cb1802Cb6152Cb1682Cb6482Cb1032Cb802Cb2132Cb5972Cb7242Cb6132Cb1352Cb8772Cb1832Cb4972Cb4352Cb1942Cb8612Cb2562Cb8542Cb1982Cb6472Cb6792Cb882Cb4412Cb62Cb2212Cb6452Cb2192Cb502Cb1512Cb1922Cstexists?page=11,200,40.682 KB,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
344,66.249.66.91,01/22/2019 03:56:27,GET,/image/26027?name=deuter076052349211zoom.jpg&wh=200x200,200,6.642 KB,Googlebot-Image/1.0,N
345,66.111.54.249,01/22/2019 03:56:45,GET,/image/99/brand,200,2.136 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
346,91.99.72.15,01/22/2019 03:57:06,GET,/product/6021/6638/D981D8B4D8A7D8B1D8B3D986D8ACD8A8D8A7D8B2D988DB8CDB8CD8A7DB8CD8B2DB8CD984D8A7DB8CD981D985D8AFD984HS2000,200,41.346 KB,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7(KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7",N
347,66.249.66.194,01/22/2019 03:57:01,GET,/m/product/8097/D8ACD8A7D8B1D988D8A8D8B1D982DB8CD8A8D8AFD988D986D9BED8A7DAA9D8AAD8A7D984D8ACDB8CD985D8AFD984LGVacuumCleanerVB7520H,200,20.756 KB,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
348,31.56.96.51,01/22/2019 03:56:56,GET,/m/filter/b113?page=1,200,21.243 KB,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
349,5.78.198.52,01/22/2019 03:56:33,POST,/m/updateVariation?__amp_source_origin=https3A2F2Fwww.zanbil.ir,200,0.171 KB,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",Y
350,2.177.12.140,01/22/2019 03:56:45,GET,/image/62843/productModel/150x150,200,4.51 KB,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
351,91.99.72.15,01/22/2019 03:57:09,GET,/product/33396/64042/D8B3D8A7D8B9D8AAD985DA86DB8CD8B9D982D8B1D8A8D987D8A7DB8CD985D8B1D8AFD8A7D986D987CASIOD985D8AFD984EFV520BL2AVUDF,200,43.101 KB,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,N
352,207.46.13.104,01/22/2019 03:56:46,GET,/browse/flutekeys/www.zanbil.ir,404,33.605 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
353,54.36.148.117,01/22/2019 03:57:05,GET,/filter/b153b180b612p8,200,34.976 KB,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
354,2.177.12.140,01/22/2019 03:56:23,GET,/image/32703/productType/120x90,200,13.303 KB,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
355,66.111.54.249,01/22/2019 03:56:46,GET,/image/11/productTypeType,200,11.468 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
356,66.111.54.249,01/22/2019 03:56:46,GET,/image/60751/productModel/200x200,200,2.342 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
357,2.179.141.98,01/22/2019 03:56:45,GET,/static/js/accordion.js?_=1548117047784,200,0.258 KB,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",Y
358,31.56.96.51,01/22/2019 03:57:02,GET,/image/61496/productModel/200x200,200,6.461 KB,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
359,66.111.54.249,01/22/2019 03:56:45,GET,/image/1218/mainSlideMobile,200,68.123 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
360,31.56.96.51,01/22/2019 03:57:02,GET,/image/60850/productModel/200x200,200,5.317 KB,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
361,2.177.12.141,01/22/2019 04:56:25,GET,/static/images/amp/thirdparty/footermobile.png,200,62.894 KB,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
362,204.18.198.248,01/22/2019 03:57:11,GET,/image/30782?name=gastroback21.jpg&wh=max,200,30.822 KB,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",Y
363,207.46.13.104,01/22/2019 03:56:47,GET,/image/28874?name=hbr515xxxx.jpg&wh=max,200,9.689 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
364,172.20.2.174,01/22/2019 03:56:49,GET,/site/ping,200,0.004 KB,-,N
365,66.111.54.249,01/22/2019 03:57:02,GET,/static/images/amp/thirdparty/footermobile.png,200,62.894 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
366,66.111.54.249,01/22/2019 03:56:45,GET,/image/61964/productModel/200x200,200,3.323 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
367,5.209.200.218,01/22/2019 03:56:58,GET,/settings/logo,200,4.12 KB,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G361H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Y
368,207.46.13.115,01/22/2019 03:56:30,GET,/image/6239/productModel/100x100,200,1.807 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
369,51.15.15.54,01/22/2019 03:56:38,GET,/blog/tag/DAAFD8ACD8AA/,200,21.391 KB,Barkrowler/0.9 (+http://www.exensa.com/crawl),N
370,54.36.149.17,01/22/2019 03:56:38,GET,/product/30972/84309,200,41.524 KB,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
371,207.46.13.115,01/22/2019 03:56:29,GET,/image/553/article/100x100,200,11.229 KB,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
372,173.249.54.67,01/22/2019 03:56:30,GET,/image/32745?name=ms50614.jpg&wh=200x200,200,3.901 KB,Dalvik/2.1.0 (Linux; U; Android 8.0.0; PRA-LA1 Build/HONORPRA-LA1),N
373,66.111.54.250,01/22/2019 04:56:45,HEAD,/image/1647/productModel/200x200,200,3.744 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
374,5.112.52.254,01/22/2019 03:56:29,GET,/image/1221?name=rs12w.jpg&wh=200x200,200,2.856 KB,Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-J530F Build/M1AJQ),N
375,178.253.33.51,01/22/2019 03:56:24,GET,/image/32574?name=pr465at2.jpg&wh=max,200,46.807 KB,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
376,66.111.54.249,01/22/2019 03:56:46,GET,/image/20/brand,200,1.958 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
377,5.112.52.254,01/22/2019 03:56:29,GET,/image/32837?name=des36001111.jpg&wh=200x200,200,3.323 KB,Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-J530F Build/M1AJQ),N
378,89.199.193.251,01/22/2019 03:56:27,GET,/image/33888?name=modelb2048u1.jpg&wh=200x200,200,3.975 KB,torob/5 CFNetwork/976 Darwin/18.2.0,N
379,66.111.54.249,01/22/2019 03:56:45,GET,/image/5/productTypeType,200,11.174 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
380,66.111.54.249,01/22/2019 03:56:46,GET,/favicon.ico,200,0.0 KB,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",N
381,5.209.200.218,01/22/2019 03:56:55,GET,/static/images/guarantees/warranty.png,200,5.807 KB,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G361H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Y
